GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tarea1,es.ies.puerto.config,AppConfig,7,24,0,0,4,7,1,2,1,2
tarea1,es.ies.puerto.modelo.db,Conexion,8,13,0,0,2,4,0,2,0,2
tarea1,es.ies.puerto.modelo.db,SQLiteDialect,68,127,2,0,23,29,23,2,22,2
tarea1,es.ies.puerto.modelo.db,Crud,99,479,7,23,26,130,7,21,0,13
tarea1,es.ies.puerto.modelo.db,CrudHibernate,16,86,2,2,4,28,3,6,1,6
tarea1,es.ies.puerto.modelo.impl,Personaje,19,99,2,2,8,33,3,16,1,16
tarea1,es.ies.puerto.modelo.impl,Alias,13,60,2,2,3,22,3,10,1,10
tarea1,es.ies.puerto.modelo.impl,Poder,7,63,2,2,3,23,3,10,1,10
tarea1,es.ies.puerto.excepcion,UsuarioException,5,0,0,0,2,0,1,0,1,0
