GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tareacsvjsonxml,es.ies.puerto.modelo.ficheros.impl,Json,8,58,0,0,5,12,0,5,0,5
tareacsvjsonxml,es.ies.puerto.modelo.ficheros.impl,Json.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
tareacsvjsonxml,es.ies.puerto.modelo.ficheros.impl,Xml,8,61,1,1,5,15,1,5,0,5
tareacsvjsonxml,es.ies.puerto.modelo.ficheros.impl,Csv,11,138,5,9,6,27,5,8,0,6
tareacsvjsonxml,es.ies.puerto.modelo.ficheros.abstrac,Ficheros,8,44,4,4,4,10,4,3,0,3
tareacsvjsonxml,es.ies.puerto.modelo.impl,Personaje,2,128,1,5,1,35,1,17,0,15
tareacsvjsonxml,es.ies.puerto.modelo.impl,PersonajeContainer,4,12,0,0,2,6,1,3,1,3
tareacsvjsonxml,es.ies.puerto.negocio.impl,Negocio,0,180,4,12,0,36,4,13,0,9
