GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trabajoconclases,ies.puerto,Rectangulo,0,32,0,0,0,9,0,6,0,6
trabajoconclases,ies.puerto,Producto,0,46,0,0,0,17,0,9,0,9
trabajoconclases,ies.puerto,Persona,0,52,0,0,0,18,0,10,0,10
trabajoconclases,ies.puerto,Circulo,0,35,0,0,0,8,0,5,0,5
trabajoconclases,ies.puerto,Estudiante,0,59,0,2,0,20,0,11,0,10
trabajoconclases,ies.puerto,CuentaBancaria,0,53,0,0,0,17,0,10,0,10
trabajoconclases,ies.puerto,Libro,0,32,0,0,0,10,0,6,0,6
trabajoconclases,ies.puerto,Tienda,0,76,0,2,0,9,0,3,0,2
